target,guesses,guess_count,is_common,won_in_6
aahed,slate-raced-funky-wedge-depth-hazed-aahed,7,False,False
aalii,slate-colin-valid-malik-aalii,5,False,True
aapas,slate-oasis-brink-apace-aapas,5,False,True
aargh,slate-corny-fluke-parma-aargh,5,False,True
aarti,slate-carny-garth-aahed-aarti,5,False,True
abaca,slate-churn-aback-abaca,4,False,True
abaci,slate-churn-aback-abaca-abaci,5,False,True
aback,slate-churn-aback,3,True,True
abacs,slate-curbs-abacs,3,False,True
abaft,slate-grunt-adapt-await-abaft,5,False,True
abaht,slate-grunt-adapt-await-abaft-abaht,6,False,True
abaka,slate-churn-foamy-aalii-abaka,5,False,True
abamp,slate-churn-foamy-aapas-abamp,5,False,True
aband,slate-churn-piano-abjad-aband,5,False,True
abase,slate-beech-abase,3,True,True
abash,slate-curbs-abash,3,True,True
abask,slate-curbs-abash-abask,4,False,True
abate,slate-corgi-abate,3,True,True
abaya,slate-churn-foamy-abaca-abaya,5,False,True
abbas,slate-oasis-anger-abbas,4,True,True
abbed,slate-raced-admin-abbed,4,False,True
abbes,slate-wiper-casks-fudgy-abbes,5,False,True
abbey,slate-raced-aback-abbey,4,True,True
abbot,slate-tarot-afoot-abbot,4,True,True
abcee,slate-garbo-abide-abcee,4,False,True
abeam,slate-raced-venom-abeam,4,False,True
abear,slate-raced-blown-zebra-abear,5,False,True
abeat,slate-treed-aback-abeat,4,False,True
abeer,slate-raced-about-abeer,4,False,True
abele,slate-anglo-amped-abide-abele,5,False,True
abeng,slate-raced-venom-hyena-abeng,5,False,True
abers,slate-wiper-abase-abers,4,False,True
abets,slate-chefs-abets,3,False,True
abeys,slate-wiper-bands-abeys,4,False,True
abhor,slate-corny-vroom-abhor,4,True,True
abide,slate-garbo-abide,3,True,True
abies,slate-wiper-jambe-abies,4,False,True
abius,slate-oasis-aback-abius,4,False,True
abjad,slate-corny-mamba-abjad,4,False,True
abjud,slate-corny-mamba-abuzz-abjud,5,False,True
abled,slate-rangy-medal-abled,4,True,True
abler,slate-rangy-feral-abler,4,False,True
ables,slate-lambs-ables,3,False,True
ablet,slate-paler-ablet,3,False,True
ablow,slate-colin-aglow-ablow,4,False,True
abmho,slate-corny-dumbo-abmho,4,False,True
abnet,slate-treed-acing-abnet,4,False,True
abode,slate-garbo-abode,3,True,True
abohm,slate-corny-dumbo-abohm,4,False,True
aboil,slate-colin-aboil,3,True,True
aboma,slate-corny-dumbo-abohm-aboma,5,False,True
aboon,slate-corny-badge-aboon,4,False,True
abord,slate-corny-vroom-agora-aahed-abord,6,False,True
abore,slate-garbo-abore,3,False,True
aborn,slate-corny-odour-groan-aborn,5,False,True
abort,slate-tarot-abort,3,True,True
about,slate-tarot-about,3,True,True
above,slate-garbo-abode-above,4,True,True
abram,slate-corny-fluke-parma-abram,5,False,True
abray,slate-corny-aphid-array-abray,5,False,True
abrim,slate-corny-fluke-parma-ahead-abrim,6,False,True
abrin,slate-corny-quran-abrin,4,False,True
abris,slate-oasis-aburn-abris,4,False,True
absey,slate-wiper-casks-absey,4,False,True
absit,slate-antsy-ascot-absit,4,False,True
abuna,slate-corny-mixup-fauna-abuna,5,False,True
abune,slate-garbo-abide-abcee-abune,5,False,True
abura,slate-corny-rabid-abura,4,False,True
aburn,slate-corny-aboil-aburn,4,False,True
abuse,slate-crump-abuse,3,True,True
abuts,slate-nymph-farce-vista-abuts,5,False,True
abuzz,slate-corny-mamba-abuzz,4,True,True
abyes,slate-wiper-casks-fudgy-abyes,5,False,True
abysm,slate-oasis-bursa-abysm,4,False,True
abyss,slate-oasis-abyss,3,True,True
acais,slate-curbs-acais,3,False,True
acara,slate-churn-acara,3,False,True
acari,slate-churn-acara-acari,4,False,True
accas,slate-oasis-anger-abbas-amuck-accas,6,False,True
accha,slate-corny-acrid-accha,4,False,True
accoy,slate-corny-accoy,3,False,True
accra,slate-corny-vicar-accra,4,False,True
acedy,slate-raced-acedy,3,False,True
acene,slate-garbo-anime-acene,4,False,True
acerb,slate-raced-aroma-acerb,4,False,True
acers,slate-wiper-abase-cagot-acers,5,False,True
aceta,slate-earth-amnic-aceta,4,False,True
achar,slate-corny-vicar-achar,4,False,True
ached,slate-raced-ached,3,True,True
acher,slate-raced-aahed-acher,4,False,True
aches,slate-wiper-casks-aches,4,True,True
achey,slate-raced-achey,3,False,True
achoo,slate-corny-choco-achoo,4,True,True
acids,slate-oasis-aback-acids,4,True,True
acidy,slate-corny-awash-acidy,4,False,True
acies,slate-wiper-jambe-acies,4,False,True
acing,slate-corny-acing,3,True,True
acini,slate-corny-acing-acini,4,False,True
ackee,slate-garbo-anime-aahed-ackee,5,False,True
acker,slate-raced-aahed-acker,4,False,True
acmes,slate-wiper-casks-aches-acmes,5,False,True
acmic,slate-corny-acrid-acmic,4,False,True
acned,slate-raced-ached-acned,4,False,True
acnes,slate-wiper-casks-aches-acmes-acnes,6,False,True
acock,slate-corny-choco-acock,4,False,True
acoel,slate-rangy-medal-abcee-acoel,5,False,True
acold,slate-colin-acold,3,False,True
acone,slate-garbo-awoke-anode-acone,5,False,True
acorn,slate-corny-acorn,3,True,True
acral,slate-colin-larch-acral,4,False,True
acred,slate-raced-acred,3,False,True
acres,slate-wiper-march-acres,4,True,True
acrid,slate-corny-balmy-acrid,4,True,True
acron,slate-corny-narco-acron,4,False,True
acros,slate-oasis-comas-acros,4,False,True
acryl,slate-colin-larch-acral-acryl,5,False,True
actas,slate-antsy-astir-afanc-actas,5,False,True
acted,slate-treed-amigo-acted,4,True,True
actin,slate-tarot-ached-actin,4,True,True
acton,slate-tarot-acton,3,True,True
actor,slate-tarot-actor,3,True,True
actus,slate-antsy-astir-afanc-actus,5,False,True
acute,slate-actor-acute,3,True,True
acyls,slate-basis-pulmo-abord-acyls,5,False,True
adage,slate-prick-mewed-adage,4,True,True
adapt,slate-grunt-adapt,3,True,True
adats,slate-combe-whats-ridgy-adats,5,False,True
adawn,slate-churn-again-adawn,4,False,True
adaws,slate-curbs-acing-amass-apayd-adaws,6,False,True
adays,slate-curbs-acing-amass-apayd-adays,6,False,True
adbot,slate-tarot-afoot-abbot-adbot,5,False,True
addas,slate-oasis-anger-abbas-amuck-addas,6,False,True
addax,slate-corny-mamba-abjud-addax,5,False,True
added,slate-raced-admin-added,4,True,True
adder,slate-raced-adder,3,True,True
addin,slate-corny-denim-addin,4,False,True
addio,slate-corny-dumbo-abide-addio,5,False,True
addle,slate-anglo-amped-addle,4,True,True
addra,slate-corny-rabid-aapas-addra,5,False,True
adead,slate-raced-aback-ahead-adead,5,False,True
adeem,slate-raced-adieu-adawn-adeem,5,False,True
adept,slate-treed-adept,3,True,True
adhan,slate-corny-denim-adhan,4,False,True
adhoc,slate-corny-choco-havoc-adhoc,5,False,True
adieu,slate-raced-adieu,3,True,True
adios,slate-oasis-adios,3,True,True
adits,slate-nymph-farce-vista-adits,5,False,True
adlib,slate-colin-valid-adlib,4,False,True
adman,slate-corny-denim-aahed-adman,5,False,True
admen,slate-raced-adieu-adawn-admen,5,False,True
admin,slate-corny-denim-admin,4,True,True
admit,slate-tarot-adage-admit,4,True,True
admix,slate-corny-mamba-admix,4,False,True
adnex,slate-raced-adieu-adawn-adnex,5,False,True
adobe,slate-garbo-adobe,3,True,True
adobo,slate-corny-dumbo-adobo,4,True,True
adoon,slate-corny-badge-adoon,4,False,True
adopt,slate-tarot-about-adopt,4,True,True
adorb,slate-corny-vroom-agora-aahed-adorb,6,False,True
adore,slate-garbo-adore,3,True,True
adorn,slate-corny-odour-adorn,4,True,True
adown,slate-corny-badge-adoon-adown,5,False,True
adoze,slate-garbo-awoke-anode-adoze,5,False,True
adrad,slate-corny-fluke-parma-aahed-adrad,6,False,True
adraw,slate-corny-fluke-parma-aahed-adraw,6,False,True
adred,slate-raced-armed-aired-adred,5,False,True
adret,slate-treed-dater-adret,4,False,True
adrip,slate-corny-fluke-parma-adrip,5,False,True
adsum,slate-oasis-unsay-aargh-adsum,5,False,True
aduki,slate-corny-mamba-befit-jihad-aduki,6,False,True
adult,slate-taint-adult,3,True,True
adunc,slate-corny-acing-adunc,4,False,True
adust,slate-antsy-adust,3,False,True
advew,slate-raced-adieu-adawn-advew,5,False,True
advts,slate-nymph-farce-vista-advts,5,False,True
adyta,slate-carny-adyta,3,False,True
adyts,slate-nymph-tasty-adyts,4,False,True
adzed,slate-raced-admin-added-adzed,5,False,True
adzes,slate-wiper-casks-fudgy-adzes,5,False,True
aecia,slate-raced-mecca-aecia,4,False,True
aedes,slate-wiper-casks-fudgy-aedes,5,False,True
aeger,slate-raced-about-anger-aeger,5,False,True
aegis,slate-wiper-aegis,3,True,True
aeons,slate-wiper-bands-abeam-aeons,5,False,True
aerie,slate-garbo-aerie,3,True,True
aeros,slate-wiper-abase-cagot-aeros,5,False,True
aesir,slate-wiper-aesir,3,False,True
aevum,slate-raced-venom-aevum,4,False,True
afald,slate-corgi-qualm-aahed-afald,5,False,True
afanc,slate-churn-knack-afanc,4,False,True
afara,slate-churn-abide-amaro-afara,5,False,True
afars,slate-curbs-dowse-agony-afara-afars,6,False,True
afear,slate-raced-blown-freak-afear,5,False,True
affix,slate-corny-mamba-befit-affix,5,True,True
affly,slate-colin-grump-badly-affly,5,False,True
afion,slate-corny-badge-axion-anvil-afion,6,False,True
afire,slate-garbo-afire,3,True,True
afizz,slate-corny-mamba-befit-afizz,5,False,True
aflaj,slate-colin-madly-gulag-aflaj,5,False,True
aflap,slate-colin-madly-gulag-aflaj-aflap,6,False,True
aflow,slate-colin-aglow-ablow-aflow,5,False,True
afoam,slate-corny-dumbo-axiom-afoam,5,False,True
afoot,slate-tarot-afoot,3,True,True
afore,slate-garbo-adore-afore,4,True,True
afoul,slate-colin-brood-afoul,4,True,True
afret,slate-treed-watch-afret,4,False,True
afrit,slate-tarot-acmes-afrit,4,False,True
afros,slate-oasis-comas-grand-afros,5,False,True
after,slate-treed-watch-after,4,True,True
aftos,slate-antsy-astir-afanc-aftos,5,False,True
