game_num,year,target,guesses,guess_count,failed
0,2021,cigar,slate-corny-cigar,3,False
1,2021,rebut,slate-deter-merit-rebut,4,False
2,2021,sissy,slate-chirp-squid-sissy,4,False
3,2021,humph,slate-crony-humid-humph,4,False
4,2021,awake,slate-prick-awake,3,False
5,2021,blush,slate-floss-blush,3,False
6,2021,focal,slate-molly-focal,3,False
7,2021,evade,slate-prick-evade,3,False
8,2021,naval,slate-molar-banal-naval,4,False
9,2021,serve,slate-chirp-serve,3,False
10,2021,heath,slate-death-heath,3,False
11,2021,dwarf,slate-grind-dwarf,3,False
12,2021,model,slate-never-model,3,False
13,2021,karma,slate-corny-karma,3,False
14,2021,stink,slate-pinot-sting-stink,4,False
15,2021,grade,slate-prick-grave-grade,4,False
16,2021,quiet,slate-deter-comet-quiet,4,False
17,2021,bench,slate-diner-xenon-bench,4,False
18,2021,abate,slate-corgi-abate,3,False
19,2021,feign,slate-diner-eking-feign,4,False
20,2021,major,slate-corny-armor-major,4,False
21,2021,death,slate-meaty-death,3,False
22,2021,fresh,slate-runes-fresh,3,False
23,2021,crust,slate-trout-crust,3,False
24,2021,stool,slate-split-stool,3,False
25,2021,colon,slate-dilly-color-colon,4,False
26,2021,abase,slate-cease-phase-abase,4,False
27,2021,marry,slate-corny-parry-marry,4,False
28,2021,react,slate-enact-react,3,False
29,2021,batty,slate-corny-fatty-patty-batty,5,False
30,2021,pride,slate-doing-bride-pride,4,False
31,2021,floss,slate-floss,2,False
32,2021,helix,slate-never-cello-helix,4,False
33,2021,croak,slate-corny-croak,3,False
34,2021,staff,slate-drift-staff,3,False
35,2021,paper,slate-radar-pygmy-paper,4,False
36,2021,unfed,slate-diner-unwed-unfed,4,False
37,2021,whelp,slate-never-dwell-whelk-whelp,5,False
38,2021,trawl,slate-trail-trawl,3,False
39,2021,outdo,slate-count-outdo,3,False
40,2021,adobe,slate-garbo-adobe,3,False
41,2021,crazy,slate-churn-yikes-crazy,4,False
42,2021,sower,slate-hired-sewer-sower,4,False
43,2021,repay,slate-cedar-repay,3,False
44,2021,digit,slate-count-drift-digit,4,False
45,2021,crate,slate-corgi-crate,3,False
46,2021,cluck,slate-flunk-pluck-cluck,4,False
47,2021,spike,slate-chirp-spine-spike,4,False
48,2021,mimic,slate-crony-pubic-mimic,4,False
49,2021,pound,slate-crony-bound-whomp-pound,5,False
50,2021,maxim,slate-corny-mafia-maxim,4,False
51,2021,linen,slate-never-liken-linen,4,False
52,2021,unmet,slate-deter-comet-unmet,4,False
53,2021,flesh,slate-flesh,2,False
