game_num,target,guesses,guess_count,failed,is_repeat,days_since_last,g_bar,base_ema_prob,adjusted_prob
1689,cigar,slate-cairn-curia-cigar,4,False,True,1,9.47,0.109,0.0109
1690,weigh,slate-mired-eking-weigh,4,False,False,1,8.62,0.10791,0.023531
1691,chide,slate-crumb-chive-chide,4,False,False,2,8.62,0.106831,0.035909
1692,swoop,slate-incur-shook-swoop,4,False,False,3,8.62,0.105763,0.048036
1693,gavel,slate-rangy-gavel,3,False,False,4,8.62,0.104705,0.059918
1694,bleat,slate-cleat-bleat,3,False,False,5,8.62,0.103658,0.071557
1695,embed,slate-doper-embed,3,False,False,6,8.62,0.102621,0.082957
1696,cello,slate-renew-cello,3,False,False,7,8.62,0.101595,0.094122
1697,scene,slate-renew-scene,3,False,False,8,8.62,0.100579,0.105056
1698,vegan,slate-radar-began-vegan,4,False,False,9,8.62,0.099573,0.115761
1699,surge,slate-wring-surge,3,False,False,10,8.62,0.098578,0.126242
1700,mooch,slate-prion-moody-mooch,4,False,False,11,8.62,0.097592,0.136502
1701,bloom,slate-bipod-bloom,3,False,False,12,8.62,0.096616,0.146544
1702,skull,slate-skull,2,False,False,13,8.62,0.09565,0.156371
1703,roost,slate-droit-roost,3,False,False,14,8.62,0.094693,0.165987
1704,squad,slate-garbo-shiva-squad,4,False,True,15,8.62,0.103746,0.010375
1705,mogul,slate-dilly-lurch-mogul,4,False,False,1,9.26,0.102709,0.021461
1706,hoist,slate-hoist,2,False,False,2,9.26,0.101682,0.032325
1707,stank,slate-hinky-stank,3,False,False,3,9.26,0.100665,0.042969
1708,awake,slate-grump-weave-awake,4,False,True,4,9.26,0.109658,0.010966
1709,guava,slate-churn-guava,3,False,False,1,8.73,0.108562,0.023488
1710,attic,slate-tarot-attic,3,False,False,2,8.73,0.107476,0.035759
1711,buyer,slate-doper-brink-buyer,4,False,False,3,8.73,0.106401,0.047783
1712,shred,slate-sheer-shred,3,False,False,4,8.73,0.105337,0.059562
1713,lance,slate-ankle-lance,3,False,False,5,8.73,0.104284,0.071101
1714,dizzy,slate-prion-dizzy,3,False,False,6,8.73,0.103241,0.082403
1715,hydra,slate-minor-parka-hydra,4,False,False,7,8.73,0.102209,0.093472
1716,fluke,slate-plume-fluke,3,False,False,8,8.73,0.101187,0.104311
1717,slime,slate-slide-slime,3,False,False,9,8.73,0.100175,0.114924
1718,linen,slate-renew-linen,3,False,True,10,8.73,0.109173,0.010917
1719,theft,slate-tenet-theft,3,False,False,1,8.86,0.108081,0.023182
1720,sheep,slate-sheer-sheen-sheep,4,False,False,2,8.86,0.107,0.0352
1721,gunky,slate-prion-junky-gunky,4,False,False,3,8.86,0.10593,0.046976
1722,vogue,slate-croup-vogue,3,False,False,4,8.86,0.104871,0.058513
