word,prior,expected_guesses
aahed,0.0,2.6709
aalii,0.0,2.7518
aapas,0.0,2.779
aargh,0.0,2.6508
aarti,0.0,2.5872
abaca,0.0,2.8463
abaci,0.0,2.7326
aback,1.0,2.7558
abacs,0.0,2.7094
abaft,0.0,2.7356
abaht,0.0,2.6972
abaka,0.0,2.8894
abamp,0.0,2.7549
aband,0.0,2.7035
abase,0.911774,2.6619
abash,0.031973,2.7077
abask,0.0,2.726
abate,1.0,2.6314
abaya,0.0,2.8766
abbas,0.0,2.8487
abbed,0.0,2.7363
abbes,0.0,2.7306
abbey,0.999124,2.7465
abbot,0.0007792000000000001,2.7198
abcee,0.0,2.6439
abeam,0.0,2.7341
abear,0.0,2.6287
abeat,0.0,2.6455
abeer,0.0,2.6051
abele,0.0,2.6153
abeng,0.0,2.6408
abers,0.0,2.5656
abets,0.0,2.5538
abeys,0.0,2.6385
abhor,0.0007792000000000001,2.5964
abide,0.4333186147945205,2.5776
abies,0.0,2.5735
abius,0.0,2.6467
abjad,0.0,2.8805
abjud,0.0,2.8238
abled,0.003896,2.5495
abler,0.0,2.531
ables,0.0,2.5579
ablet,0.0,2.5221
ablow,0.0,2.6841
abmho,0.0,2.704
abnet,0.0,2.5365
abode,1.0,2.5784
abohm,0.0,2.6874
aboil,0.663523,2.5742
aboma,0.0,2.7348
aboon,0.0,2.6852
abord,0.0,2.5811
abore,0.0,2.5245
aborn,0.0,2.5571
abort,1.0,2.5193
about,0.676051704109589,2.6115
above,0.7828177621917808,2.6645
abram,0.0,2.6905
abray,0.0,2.6721
abrim,0.0,2.6189
abrin,0.0,2.566
abris,0.0,2.5824
absey,0.0,2.6009
absit,0.0,2.5671
abuna,0.0,2.7149
abune,0.0,2.5726
abura,0.0,2.6935
aburn,0.0,2.5938
abuse,1.0,2.5906
abuts,0.0,2.5956
abuzz,1.0,2.9336
abyes,0.0,2.6249
abysm,0.0,2.6692
abyss,1.0,2.7532
acais,0.0,2.6562
acara,0.0,2.7521
acari,0.0,2.6388
accas,0.0,2.8101
accha,0.0,2.8513
accoy,0.0,2.7207
accra,0.0,2.7643
acedy,0.0,2.615
acene,0.0,2.592
acerb,0.0,2.5662
acers,0.0,2.5227
aceta,0.0,2.6252
achar,0.0,2.6535
ached,0.003896,2.6014
acher,0.0,2.5569
aches,0.0,2.5999
achey,0.0,2.622
achoo,0.052968,2.7341
acids,0.0,2.587
acidy,0.0,2.6235
acies,0.0,2.5415
acing,0.964463,2.5889
acini,0.0,2.6902
ackee,0.0,2.669
acker,0.0,2.5785
acmes,0.0,2.59
acmic,0.0,2.7601
acned,0.0,2.5451
acnes,0.0,2.5439
acock,0.0,2.7509
acoel,0.0,2.5289
acold,0.0,2.5726
acone,0.0,2.5093
acorn,0.2973515835616438,2.5009
acral,0.0,2.6053
acred,0.0,2.5125
acres,0.0,2.5177
acrid,0.7171155726027397,2.5376
acron,0.0,2.522
acros,0.0,2.5411
acryl,0.0,2.5826
actas,0.0,2.6417
acted,0.003896,2.5452
actin,0.0,2.5331
acton,0.0,2.5461
actor,0.5510350378082192,2.5068
actus,0.0,2.5829
acute,0.0007792000000000001,2.5419
acyls,0.0,2.6014
adage,0.3384154520547945,2.6725
adapt,0.5309593687671232,2.649
adats,0.0,2.6662
adawn,0.0,2.7526
adaws,0.0,2.778
adays,0.0,2.7352
adbot,0.0,2.6093
addas,0.0,2.8346
addax,0.0,2.9668
added,0.003896,2.8465
adder,0.873821,2.6815
addin,0.0,2.711
addio,0.0,2.7359
addle,0.870413,2.6585
addra,0.0,2.7998
adead,0.0,2.7982
adeem,0.0,2.6594
adept,0.0610062071232876,2.5409
adhan,0.0,2.7437
adhoc,0.0,2.6827
adieu,1.0,2.6221
adios,0.935071,2.6029
adits,0.0,2.5713
adlib,0.0,2.6332
adman,0.0,2.7176
admen,0.0,2.5816
admin,0.0308927035616438,2.5987
admit,0.9269975671232876,2.5725
admix,0.0,2.7775
adnex,0.0,2.6771
adobe,1.0,2.5805
adobo,0.995374,2.7257
adoon,0.0,2.6765
adopt,0.8229691002739726,2.5591
adorb,0.0,2.6025
adore,0.8631204383561644,2.5114
adorn,1.0,2.5163
adown,0.0,2.6654
adoze,0.0,2.6909
adrad,0.0,2.7711
adraw,0.0,2.7332
adred,0.0,2.627
adret,0.0,2.4795
adrip,0.0,2.5865
adsum,0.0,2.6776
aduki,0.0,2.7287
adult,0.5738482980821917,2.5466
adunc,0.0,2.6352
adust,0.0,2.563
advew,0.0,2.7327
advts,0.0,2.7015
adyta,0.0,2.7247
adyts,0.0,2.6366
adzed,0.0,2.8178
adzes,0.0,2.7106
aecia,0.0,2.6488
aedes,0.0,2.5965
aeger,0.0,2.5693
aegis,1.0,2.5708
aeons,0.0,2.5238
aerie,1.0,2.5804
aeros,0.0,2.526
aesir,0.0,2.4887
aevum,0.0,2.6968
afald,0.0,2.7162
afanc,0.0,2.7216
afara,0.0,2.8189
afars,0.0,2.6875
afear,0.0,2.6538
affix,0.1759850389041096,2.9418
affly,0.0,2.7824
afion,0.0,2.6082
afire,1.0,2.5544
afizz,0.0,2.9358
aflaj,0.0,2.8589
aflap,0.0,2.7309
aflow,0.0,2.7136
afoam,0.0,2.7539
afoot,0.0007792000000000001,2.6898
afore,0.638004,2.5616
afoul,1.0,2.6277
afret,0.0,2.5137
afrit,0.0,2.5481
afros,0.0,2.591
after,0.4707323616438356,2.5471
aftos,0.0,2.6144
again,0.6915647210958904,2.6854
agals,0.0,2.6715
agama,0.0,2.8656
agami,0.0,2.7402
agamy,0.0,2.7151
agape,1.0,2.6591
agars,0.0,2.6636
agasp,0.0,2.6857
agast,0.0,2.6201
agate,0.98098,2.6445
agaty,0.0,2.6661
agave,1.0,2.761
agaze,0.0,2.7803
agbas,0.0,2.7458
agene,0.0,2.618
agent,0.5765858893150685,2.542
agers,0.0,2.5626
aggag,0.0,3.002
agger,0.0,2.6739
aggie,0.0,2.7096
aggri,0.0,2.7515
aggro,0.0,2.7251
aggry,0.0,2.741
aghas,0.0,2.7479
agidi,0.0,2.7771
agila,0.0,2.6611
agile,0.7006900252054794,2.5179
aging,0.5035834564383561,2.7344
agios,0.0,2.6054
agism,0.0,2.6228
agist,0.0,2.5338
agita,0.994003,2.6883
aglee,0.0,2.596
aglet,0.0,2.5185
agley,0.0,2.5704
agloo,0.0,2.6961
aglow,0.7216782246575342,2.6542
aglus,0.0,2.6241
agmas,0.0,2.7399
agoge,0.0,2.7111
agogo,0.0,2.8468
agone,0.0,2.54
agons,0.0,2.5833
agony,0.7426664241095889,2.5797
agood,0.0,2.7137
agora,0.956463,2.6598
agree,0.0007792000000000001,2.607
agria,0.0,2.6614
agrin,0.0,2.5563
agros,0.0,2.5706
agrum,0.0,2.6271
agued,0.0,2.6087
agues,0.0,2.6028
aguey,0.0,2.6215
aguna,0.0,2.7022
agush,0.0,2.6325
aguti,0.0,2.6369
ahead,1.0,2.6898
aheap,0.0,2.6657
ahent,0.0,2.5062
ahigh,0.0,2.7506
ahind,0.0,2.5848
ahing,0.0,2.605
ahint,0.0,2.5116
ahold,0.993709,2.5591
ahole,0.0,2.5204
ahull,0.0,2.6881
ahuru,0.0,2.7312
aidas,0.0,2.6636
aided,0.003896,2.6673
aider,0.859036,2.4991
aides,0.0,2.5331
aidoi,0.0,2.7217
aidos,0.0,2.5775
aiery,0.0,2.5189
aigas,0.0,2.6682
aight,0.0,2.5891
ailed,0.003896,2.4977
aimag,0.0,2.7074
aimak,0.0,2.7174
aimed,0.003896,2.5448
aimer,0.0,2.5143
ainee,0.0,2.5583
ainga,0.0,2.6548
aioli,1.0,2.6825
aired,0.003896,2.502
airer,0.0,2.5646
airns,0.0,2.5069
airth,0.0,2.5069
airts,0.0,2.4901
aisle,0.2727132624657534,2.4723
aitch,0.0,2.5551
aitus,0.0,2.5619
aiver,0.0,2.5617
aixes,0.0,2.6542
aiyah,0.0,2.6875
aiyee,0.0,2.6335
aiyoh,0.0,2.6041
aiyoo,0.0,2.6902
aizle,0.0,2.6119
ajies,0.0,2.659
ajiva,0.0,2.8802
ajuga,0.0,2.854
ajupa,0.0,2.842
ajwan,0.0,2.8633
akara,0.0,2.8049
akees,0.0,2.663
akela,0.0,2.6842
akene,0.0,2.6402
aking,0.0,2.6521
akita,0.0,2.6826
akkas,0.0,2.8744
akker,0.0,2.7268
akoia,0.0,2.737
akoja,0.0,2.8696
akoya,0.0,2.7602
aksed,0.0,2.6073
akses,0.0,2.7164
alaap,0.0,2.7535
alack,0.0,2.6575
alala,0.0,2.8583
alamo,0.0,2.6465
aland,0.0,2.6171
alane,0.0,2.5541
alang,0.0,2.6324
alans,0.0,2.5996
alant,0.0,2.5576
alapa,0.0,2.7621
alaps,0.0,2.6164
alarm,0.0427555989041095,2.6312
alary,0.0,2.594
alata,0.0,2.7202
alate,0.0,2.5436
alays,0.0,2.6474
albas,0.0,2.648
albee,0.0,2.57
albid,0.0,2.5886
album,1.0,2.6181
alcea,0.0,2.6032
alces,0.0,2.5218
alcid,0.0,2.5589
alcos,0.0,2.5446
aldea,0.0,2.5998
alder,0.97456,2.4925
aldol,0.0,2.6567
aleak,0.0,2.6507
aleck,0.0,2.5673
alecs,0.0,2.5103
aleem,0.0,2.5922
alefs,0.0,2.5747
aleft,0.0,2.5376
aleph,0.0,2.5451
alert,0.1121079101369863,2.4626
alews,0.0,2.5883
aleye,0.0,2.6139
alfas,0.0,2.6855
algae,1.0,2.627
algal,0.0,2.7494
algas,0.0,2.6496
algid,0.0,2.5768
algin,0.0,2.5429
algor,0.0,2.5228
algos,0.0,2.5649
algum,0.0,2.6227
alias,1.0,2.6212
alibi,0.0007792000000000001,2.7034
alick,0.0,2.5723
alien,0.9726240876712328,2.4701
alifs,0.0,2.5897
align,0.0007792000000000001,2.5321
alike,0.9315602191780822,2.5341
alims,0.0,2.5543
aline,0.0,2.471
alios,0.0,2.5217
alist,0.0,2.4652
alive,0.476207544109589,2.5814
aliya,0.0,2.656
alkie,0.0,2.5539
alkin,0.0,2.5777
alkos,0.0,2.595
alkyd,0.0,2.6692
alkyl,0.0,2.7467
allan,0.0,2.7088
allay,1.0,2.7624
allee,0.0,2.6403
allel,0.0,2.75
allen,0.0,2.5925
aller,0.0,2.5755
alley,0.0007792000000000001,2.6353
allin,0.0,2.6242
allis,0.0,2.6363
allod,0.0,2.6573
allot,0.0007792000000000001,2.6084
allow,1.0,2.7233
alloy,0.0007792000000000001,2.6601
allus,0.0,2.6689
allyl,0.0,2.8276
almah,0.0,2.6768
almas,0.0,2.6499
almeh,0.0,2.5633
almes,0.0,2.5353
almud,0.0,2.6083
almug,0.0,2.6195
alods,0.0,2.5688
aloed,0.0,2.5145
aloes,0.0,2.5005
aloft,1.0,2.5524
aloha,0.968989,2.6709
aloin,0.0,2.5153
alone,1.0,2.4839
along,0.0007792000000000001,2.5356
aloof,0.4816827265753425,2.6933
aloos,0.0,2.6194
alose,0.0,2.4758
aloud,0.8914088810958904,2.5658
alowe,0.0,2.5785
alpha,0.9379479320547944,2.6736
altar,1.0,2.5894
