Config,Alpha,Ceil,Beta,Weighted_Metric,Diff_to_Base,Avg_2025_26,Avg_2024,Avg_2023,Avg_Pre2023,Overall_Avg,Total_Fails
BASELINE (w/ Threshold),0.0,0,1.0,3.4402,0.0,3.3914,3.4699,3.4712,3.5633,3.4828,0
"α=1.25, c=1000, β=0.15",1.25,1000,0.15,3.4295,-0.0107,3.3914,3.4508,3.4411,3.549,3.4674,0
"α=1.25, c=750, β=0.15",1.25,750,0.15,3.4298,-0.0104,3.3914,3.4481,3.4493,3.5472,3.468,0
"α=1.25, c=1500, β=0.45",1.25,1500,0.45,3.4294,-0.0108,3.3889,3.4536,3.4466,3.5455,3.4674,0
"α=1.25, c=1750, β=0.3",1.25,1750,0.3,3.4299,-0.0103,3.3914,3.4508,3.4438,3.549,3.468,0
"α=1.25, c=1750, β=0.45",1.25,1750,0.45,3.4284,-0.0118,3.3889,3.4508,3.4411,3.5508,3.4674,0
"α=1.25, c=1750, β=0.6",1.25,1750,0.6,3.4286,-0.0116,3.3889,3.4508,3.4438,3.549,3.4674,0
"α=1.0, c=750, β=0.15",1.0,750,0.15,3.4274,-0.0128,3.3838,3.4508,3.4575,3.5419,3.4668,0
"α=1.25, c=500, β=0.15",1.25,500,0.15,3.4282,-0.012,3.3864,3.4508,3.4521,3.5455,3.4674,0
"α=1.5, c=500, β=0.15",1.5,500,0.15,3.4285,-0.0117,3.3889,3.4481,3.4466,3.5508,3.468,0
"α=1.5, c=750, β=0.15",1.5,750,0.15,3.427,-0.0132,3.3864,3.4481,3.4438,3.5526,3.4674,0
