word,unseen_prior,is_target,src_1_norvig,src_2_wordfreq,src_3_subtlex,src_4_github,src_5_nltk_news,src_6_nltk_fiction,src_7_nltk_reuters,src_8_nltk_gutenberg,src_9_nltk_chat,src_10_nltk_web,log_src_1_norvig,log_src_2_wordfreq,log_src_3_subtlex,log_src_4_github,log_src_5_nltk_news,log_src_6_nltk_fiction,log_src_7_nltk_reuters,log_src_8_nltk_gutenberg,log_src_9_nltk_chat,log_src_10_nltk_web,is_standard_plural,is_excluded,src_breadth,conversational_mean,tech_skew,oof_predicted_prob,ranking_prob,stage_1_rank,is_predicted_solution,is_in_4500_guess_list
aahed,0.0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,0.04139268515822508,0.04139268515822508,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.737501785769964,2.258198128349077,4.10852603797192e-05,4.10852603797192e-05,6479,False,False
aalii,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,0,-2.9978499570595205,1.9978499570595205,7.523779141964293e-06,7.523779141964293e-06,13135,False,False
aapas,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,7.665730856846619e-06,7.665730856846619e-06,12430,False,False
aargh,0.0,0,71592.0,6.76e-08,33.0,1136.0,0,0,0,0,0,0,4.862510624791033,-7.163549286279846,1.5198279937757189,2.9965116522837576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-1.9109303231260317,2.9091861492679105,0.0019987537815168922,0.0019987537815168922,4684,False,False
aarti,0.0,0,63273.0,1.7e-07,0.0,274.0,0,0,0,0,0,0,4.809859913708521,-6.766953097901817,-1.0,2.4379090355394983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,3,-2.4417382744754543,3.1606927922452037,2.345395016696807e-05,2.345395016696807e-05,7235,False,False
abaca,0.0,0,79841.0,5.89e-08,1.0,3.0,0,0,0,0,0,0,4.9090883225888655,-7.22242819530859,0.04139268515822508,0.4913616938342727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-2.295258877537591,2.040939724454727,0.0001585967934328134,0.0001585967934328134,5732,False,False
abaci,0.0,0,0.0,1.55e-08,0.0,3.0,0,0,0,0,0,0,3.104350519242735,-7.781989957015637,-1.0,0.4913616938342727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,2,-2.695497489253909,2.4411783361710455,1.0644578213546768e-05,1.0644578213546768e-05,9794,False,False
aback,1.0,1,272920.0,9.77e-07,15.0,341.0,0,1,0,3,0,0,5.4380541458235605,-6.009652264025459,1.1789769472931695,2.5328817194073974,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,6,-1.7076688291830724,2.474109688886771,0.9647875830830667,0.9647875830830667,1354,True,True
abacs,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,0,-2.9978499570595205,1.9978499570595205,7.675525093286249e-06,7.675525093286249e-06,11838,False,False
abaft,0.0,0,19188.0,6.31e-08,2.0,8.0,0,0,0,2,0,0,4.310897138687436,-7.193006486317893,0.3222192947339193,0.9084850188786497,-1.0,-1.0,-1.0,0.3222192947339193,-1.0,-1.0,False,False,5,-2.2176967978959934,2.171939307335318,0.0019203157665216876,0.0019203157665216876,4695,False,False
