alpha,ceil,beta,overall_avg,overall_max,overall_fails,2021_avg,2021_max,2021_fails,2022_avg,2022_max,2022_fails,2023_avg,2023_max,2023_fails,2024_avg,2024_max,2024_fails
0.0,0,1.0,3.51084,6,0,3.59184,5,0,3.54795,6,0,3.47123,6,0,3.46995,5,0
0.3,0,0.25,3.50851,6,0,3.59694,5,0,3.54247,5,0,3.46849,6,0,3.46721,5,0
0.3,0,0.5,3.50542,6,0,3.59694,5,0,3.53425,5,0,3.46301,6,0,3.46995,5,0
0.3,0,1.0,3.50774,6,0,3.59694,5,0,3.53151,5,0,3.46575,6,0,3.47814,5,0
0.3,0,2.0,3.51238,6,0,3.59694,5,0,3.54247,6,0,3.47123,6,0,3.47814,5,0
0.3,500,0.25,3.50774,6,0,3.59184,5,0,3.54247,5,0,3.46849,6,0,3.46721,5,0
0.3,500,0.5,3.50387,6,0,3.59694,5,0,3.53425,5,0,3.46301,6,0,3.46448,5,0
0.3,500,1.0,3.51006,6,0,3.60714,5,0,3.53973,5,0,3.46575,6,0,3.47268,5,0
0.3,500,2.0,3.51161,6,0,3.61224,5,0,3.53425,5,0,3.46849,6,0,3.47814,5,0
0.3,1000,0.25,3.50774,6,0,3.59694,5,0,3.53973,5,0,3.46849,6,0,3.46721,5,0
0.3,1000,0.5,3.50929,6,0,3.60204,5,0,3.54521,5,0,3.46575,6,0,3.46721,5,0
0.3,1000,1.0,3.50929,6,0,3.59694,5,0,3.54521,5,0,3.46575,6,0,3.46995,5,0
0.3,1000,2.0,3.50697,6,0,3.60714,5,0,3.52877,5,0,3.46301,6,0,3.47541,5,0
0.3,1500,0.25,3.50929,6,0,3.59184,5,0,3.54795,5,0,3.47123,6,0,3.46448,5,0
0.3,1500,0.5,3.50851,6,0,3.59694,5,0,3.54247,5,0,3.46849,6,0,3.46721,5,0
0.3,1500,1.0,3.50697,6,0,3.59694,5,0,3.53973,5,0,3.46575,6,0,3.46721,5,0
0.3,1500,2.0,3.50774,6,0,3.59694,5,0,3.53699,5,0,3.46849,6,0,3.46995,5,0
0.7,0,0.25,3.50619,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.46448,6,0
0.7,0,0.5,3.50077,6,0,3.61735,5,0,3.52055,5,0,3.46575,6,0,3.45355,5,0
0.7,0,1.0,3.50387,6,0,3.60714,5,0,3.52329,5,0,3.46849,6,0,3.46448,5,0
0.7,0,2.0,3.50697,6,0,3.61224,5,0,3.53699,5,0,3.46575,6,0,3.46175,5,0
0.7,500,0.25,3.50619,6,0,3.62245,5,0,3.52877,5,0,3.46849,6,0,3.45902,6,0
0.7,500,0.5,3.50155,6,0,3.60714,5,0,3.52877,5,0,3.46575,6,0,3.45355,5,0
0.7,500,1.0,3.50077,6,0,3.60714,5,0,3.52603,5,0,3.46301,6,0,3.45628,6,0
0.7,500,2.0,3.50387,6,0,3.60714,5,0,3.53973,5,0,3.45479,6,0,3.46175,6,0
0.7,1000,0.25,3.50155,6,0,3.62245,5,0,3.51781,5,0,3.46575,6,0,3.45628,6,0
0.7,1000,0.5,3.5,6,0,3.61224,5,0,3.51781,5,0,3.46027,6,0,3.46175,5,0
0.7,1000,1.0,3.50155,6,0,3.61735,5,0,3.52877,5,0,3.45479,6,0,3.45902,5,0
0.7,1000,2.0,3.50542,6,0,3.61224,5,0,3.53699,5,0,3.46027,6,0,3.46175,5,0
0.7,1500,0.25,3.5031,6,0,3.62755,6,0,3.51781,5,0,3.46575,6,0,3.45902,6,0
0.7,1500,0.5,3.50542,6,0,3.63265,6,0,3.51781,5,0,3.46849,6,0,3.46175,6,0
0.7,1500,1.0,3.50232,6,0,3.63265,6,0,3.50959,5,0,3.46575,6,0,3.46175,6,0
0.7,1500,2.0,3.50387,6,0,3.62755,6,0,3.51507,5,0,3.47123,6,0,3.45902,6,0
1.2,0,0.25,3.49845,6,0,3.62245,6,0,3.51781,5,0,3.45753,6,0,3.45355,6,0
1.2,0,0.5,3.50077,6,0,3.63265,6,0,3.52329,5,0,3.46301,6,0,3.44536,6,0
1.2,0,1.0,3.50387,6,0,3.63265,5,0,3.53699,5,0,3.45479,6,0,3.45082,6,0
1.2,0,2.0,3.50387,6,0,3.60714,5,0,3.54247,5,0,3.45753,6,0,3.45628,6,0
1.2,500,0.25,3.49923,6,0,3.62755,6,0,3.51233,5,0,3.45753,6,0,3.45902,6,0
1.2,500,0.5,3.49845,6,0,3.62245,6,0,3.51781,5,0,3.46301,6,0,3.44809,6,0
1.2,500,1.0,3.50232,6,0,3.62245,5,0,3.53425,5,0,3.45479,6,0,3.45355,6,0
1.2,500,2.0,3.51006,6,0,3.63776,5,0,3.53973,5,0,3.46301,6,0,3.45902,6,0
1.2,1000,0.25,3.4969,6,0,3.63776,6,0,3.51233,5,0,3.45205,6,0,3.45082,6,0
1.2,1000,0.5,3.5,6,0,3.63265,6,0,3.51233,5,0,3.46027,6,0,3.45628,6,0
1.2,1000,1.0,3.5031,6,0,3.62755,6,0,3.52877,5,0,3.46301,6,0,3.45082,6,0
1.2,1000,2.0,3.50464,6,0,3.62755,5,0,3.52877,5,0,3.46301,6,0,3.45628,6,0
1.2,1500,0.25,3.49303,6,0,3.62755,6,0,3.51233,5,0,3.44384,6,0,3.45082,6,0
