alpha,ceil,beta,overall_avg,overall_max,overall_fails,2021_avg,2021_max,2021_fails,2022_avg,2022_max,2022_fails,2023_avg,2023_max,2023_fails,2024_avg,2024_max,2024_fails
0.0,0,1.0,3.51084,6,0,3.59184,5,0,3.54795,6,0,3.47123,6,0,3.46995,5,0
0.5,500,0.15,3.50619,6,0,3.62245,5,0,3.52603,5,0,3.46849,6,0,3.46175,6,0
0.5,500,0.3,3.50387,6,0,3.60714,5,0,3.53699,5,0,3.46575,6,0,3.45355,5,0
0.5,500,0.45,3.50232,6,0,3.60204,5,0,3.53425,5,0,3.46575,6,0,3.45355,5,0
0.5,500,0.6,3.50077,6,0,3.60204,5,0,3.52603,5,0,3.46575,6,0,3.45628,5,0
0.5,500,0.75,3.50155,6,0,3.60204,5,0,3.52603,5,0,3.46849,6,0,3.45628,5,0
0.5,750,0.15,3.50542,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.46175,6,0
0.5,750,0.3,3.50155,6,0,3.61735,5,0,3.52603,5,0,3.46301,6,0,3.45355,5,0
0.5,750,0.45,3.50077,6,0,3.60714,5,0,3.52877,5,0,3.46027,6,0,3.45628,5,0
0.5,750,0.6,3.50077,6,0,3.59694,5,0,3.53151,5,0,3.46027,6,0,3.45902,5,0
0.5,750,0.75,3.49845,6,0,3.59694,5,0,3.52329,5,0,3.46575,6,0,3.45355,5,0
0.5,1000,0.15,3.50619,6,0,3.62245,5,0,3.52329,5,0,3.46849,6,0,3.46448,6,0
0.5,1000,0.3,3.5031,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.45355,5,0
0.5,1000,0.45,3.49845,6,0,3.60714,5,0,3.52055,5,0,3.46301,6,0,3.45355,5,0
0.5,1000,0.6,3.49923,6,0,3.60714,5,0,3.52329,5,0,3.46027,6,0,3.45628,5,0
0.5,1000,0.75,3.5,6,0,3.60714,5,0,3.52329,5,0,3.46301,6,0,3.45628,5,0
0.5,1250,0.15,3.50774,6,0,3.62245,5,0,3.52603,5,0,3.46849,6,0,3.46721,6,0
0.5,1250,0.3,3.50387,6,0,3.60714,5,0,3.53151,5,0,3.46575,6,0,3.45902,5,0
0.5,1250,0.45,3.50232,6,0,3.60714,5,0,3.52877,5,0,3.46849,6,0,3.45355,5,0
0.5,1250,0.6,3.50077,6,0,3.60714,5,0,3.52055,5,0,3.46849,6,0,3.45628,5,0
0.5,1250,0.75,3.49923,6,0,3.60714,5,0,3.52055,5,0,3.46301,6,0,3.45628,5,0
0.5,1500,0.15,3.50619,6,0,3.61735,5,0,3.52329,5,0,3.46849,6,0,3.46721,6,0
0.5,1500,0.3,3.50619,6,0,3.62245,5,0,3.52877,5,0,3.46849,6,0,3.45902,6,0
0.5,1500,0.45,3.50542,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.46175,6,0
0.5,1500,0.6,3.50387,6,0,3.60714,5,0,3.52329,5,0,3.46849,6,0,3.46448,6,0
0.5,1500,0.75,3.5,6,0,3.60714,5,0,3.51781,5,0,3.46849,6,0,3.45628,5,0
0.5,1750,0.15,3.50619,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.46448,6,0
0.5,1750,0.3,3.50619,6,0,3.62245,5,0,3.52877,5,0,3.46849,6,0,3.45902,6,0
0.5,1750,0.45,3.50464,6,0,3.62245,5,0,3.52603,5,0,3.46849,6,0,3.45628,6,0
0.5,1750,0.6,3.50542,6,0,3.62245,5,0,3.52603,5,0,3.46849,6,0,3.45902,6,0
0.5,1750,0.75,3.50464,6,0,3.61735,5,0,3.52603,5,0,3.46849,6,0,3.45902,6,0
0.5,2000,0.15,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2000,0.3,3.50697,6,0,3.62245,5,0,3.52603,5,0,3.46575,6,0,3.46721,6,0
0.5,2000,0.45,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2000,0.6,3.50774,6,0,3.62245,5,0,3.53151,5,0,3.46575,6,0,3.46448,6,0
0.5,2000,0.75,3.50619,6,0,3.61735,5,0,3.53425,5,0,3.46575,6,0,3.45902,6,0
0.5,2110,0.15,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2110,0.3,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2110,0.45,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2110,0.6,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.5,2110,0.75,3.50774,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.46721,6,0
0.75,500,0.15,3.49845,6,0,3.61735,6,0,3.51233,5,0,3.46575,6,0,3.45355,6,0
0.75,500,0.3,3.50232,6,0,3.61735,5,0,3.52329,5,0,3.46301,6,0,3.45902,6,0
0.75,500,0.45,3.50387,6,0,3.62245,5,0,3.52877,5,0,3.46575,6,0,3.45355,5,0
0.75,500,0.6,3.50155,6,0,3.61735,5,0,3.52603,5,0,3.46027,6,0,3.45628,5,0
0.75,500,0.75,3.50232,6,0,3.61735,5,0,3.52329,5,0,3.46301,6,0,3.45902,6,0
0.75,750,0.15,3.49923,6,0,3.61735,6,0,3.51507,5,0,3.46575,6,0,3.45355,6,0
0.75,750,0.3,3.50232,6,0,3.62245,5,0,3.52329,5,0,3.46301,6,0,3.45628,6,0
0.75,750,0.45,3.50232,6,0,3.62245,5,0,3.52329,5,0,3.46027,6,0,3.45902,5,0
0.75,750,0.6,3.50232,6,0,3.62245,5,0,3.53425,5,0,3.45205,6,0,3.45628,5,0
