word,final_prior
aback,1.0
abase,0.911774
abash,0.031973
abate,1.0
abbas,0.003896
abbey,0.999124
abbot,0.992376
abhor,1.0
abide,1.0
abled,0.003896
abode,1.0
aboil,0.663523
abort,1.0
about,1.0
above,1.0
abuse,1.0
abuzz,1.0
abyss,1.0
ached,0.003896
aches,0.003896
achoo,0.052968
acids,0.003896
acing,0.964463
acorn,1.0
acres,0.003896
acrid,1.0
acted,0.003896
actin,0.003896
acton,0.003896
actor,1.0
acute,1.0
adage,1.0
adapt,1.0
added,0.003896
adder,0.873821
addle,0.870413
adept,1.0
adieu,1.0
adios,0.935071
admin,0.966306
admit,1.0
adobe,1.0
adobo,0.995374
adopt,1.0
adore,1.0
adorn,1.0
adult,1.0
aegis,1.0
aerie,1.0
affix,1.0
afire,1.0
afoot,1.0
afore,0.638004
afoul,1.0
after,1.0
again,1.0
agape,1.0
agate,0.98098
agave,1.0
agent,1.0
aggie,0.003896
agile,1.0
aging,1.0
agita,0.994003
aglow,1.0
agony,1.0
agora,0.956463
agree,1.0
ahead,1.0
ahold,0.993709
aided,0.003896
aider,0.859036
aides,0.003896
ailed,0.003896
aimed,0.003896
aioli,1.0
aired,0.003896
aisle,1.0
alamo,0.003896
alarm,1.0
album,1.0
alder,0.97456
alert,1.0
algae,1.0
alias,1.0
alibi,1.0
alien,1.0
align,1.0
alike,1.0
aline,0.003896
alive,1.0
allan,0.003896
allay,1.0
allen,0.003896
alley,1.0
allot,0.994003
allow,1.0
alloy,1.0
aloft,1.0
aloha,0.968989
alone,1.0
along,1.0
aloof,1.0
aloud,1.0
alpha,1.0
altar,1.0
alter,1.0
alway,0.003896
amaro,0.972228
amass,1.0
amaze,1.0
amber,1.0
ambit,0.973035
amble,1.0
amend,1.0
amigo,0.942233
amino,1.0
amiss,1.0
amity,0.989425
among,1.0
amour,0.989007
amped,0.003896
ample,1.0
amply,1.0
amuck,0.801422
amuse,1.0
ancho,0.989113
angel,1.0
anger,1.0
angle,1.0
anglo,0.003896
angry,1.0
angst,1.0
anima,0.942233
anime,1.0
anise,1.0
ankle,1.0
annal,0.019518
annas,0.003896
annex,1.0
annoy,1.0
annul,1.0
annum,0.003896
anode,0.850312
anole,0.850312
antic,1.0
antsy,1.0
anvil,1.0
aorta,1.0
apace,1.0
apart,1.0
aphid,0.948844
aping,0.99393
apnea,1.0
apple,1.0
apply,1.0
apron,1.0
aptly,1.0
arbor,0.939414
arced,0.003896
ardor,0.994098
areas,0.003896
arena,1.0
argon,0.961201
argot,1.0
argue,1.0
argus,0.003896
arias,0.003896
ariel,0.003896
arise,1.0
armed,1.0
armor,1.0
aroma,1.0
arose,1.0
arras,0.003896
array,1.0
