word,prior
aback,2.5
abase,0.911774
abash,0.031973
abate,2.5
abbas,0.0001
abbey,0.999124
abbot,0.992376
abhor,2.5
abide,2.5
abled,0.0001
abode,2.5
aboil,0.663523
abort,2.5
about,2.5
above,2.5
abuse,2.5
abuzz,2.5
abyss,2.5
ached,0.0001
aches,0.0001
achoo,0.052968
acids,0.0001
acing,0.964463
acorn,2.5
acres,0.0001
acrid,2.5
acted,0.0001
actin,0.0001
acton,0.0001
actor,2.5
acute,2.5
adage,2.5
adapt,2.5
added,0.0001
adder,0.873821
addle,0.870413
adept,2.5
adieu,2.5
adios,0.935071
admin,0.966306
admit,2.5
adobe,2.5
adobo,0.995374
adopt,2.5
adore,2.5
adorn,2.5
adult,2.5
aegis,2.5
aerie,2.5
affix,2.5
afire,2.5
afoot,2.5
afore,0.638004
afoul,2.5
after,2.5
again,2.5
agape,2.5
agate,0.98098
agave,2.5
agent,2.5
aggie,0.0001
agile,2.5
aging,2.5
agita,0.994003
aglow,2.5
agony,2.5
agora,0.956463
agree,2.5
ahead,2.5
ahold,0.993709
aided,0.0001
aider,0.859036
aides,0.0001
ailed,0.0001
aimed,0.0001
aioli,2.5
aired,0.0001
aisle,2.5
alamo,0.0001
alarm,2.5
album,2.5
alder,0.97456
alert,2.5
algae,2.5
alias,2.5
alibi,2.5
alien,2.5
align,2.5
alike,2.5
aline,0.0001
alive,2.5
allan,0.0001
allay,2.5
allen,0.0001
alley,2.5
allot,0.994003
allow,2.5
alloy,2.5
aloft,2.5
aloha,0.968989
alone,2.5
along,2.5
aloof,2.5
aloud,2.5
alpha,2.5
altar,2.5
alter,2.5
alway,0.0001
amaro,0.972228
amass,2.5
amaze,2.5
amber,2.5
ambit,0.973035
amble,2.5
amend,2.5
amigo,0.942233
amino,2.5
amiss,2.5
amity,0.989425
among,2.5
amour,0.989007
amped,0.0001
ample,2.5
amply,2.5
amuck,0.801422
amuse,2.5
ancho,0.989113
angel,2.5
anger,2.5
angle,2.5
anglo,0.0001
angry,2.5
angst,2.5
anima,0.942233
anime,2.5
anise,2.5
ankle,2.5
annal,0.019518
annas,0.0001
annex,2.5
annoy,2.5
annul,2.5
annum,0.0001
anode,0.850312
anole,0.850312
antic,2.5
antsy,2.5
anvil,2.5
aorta,2.5
apace,2.5
apart,2.5
aphid,0.948844
aping,0.99393
apnea,2.5
apple,2.5
apply,2.5
apron,2.5
aptly,2.5
arbor,0.939414
arced,0.0001
ardor,0.994098
areas,0.0001
arena,2.5
argon,0.961201
argot,2.5
argue,2.5
argus,0.0001
arias,0.0001
ariel,0.0001
arise,2.5
armed,2.5
armor,2.5
aroma,2.5
arose,2.5
arras,0.0001
array,2.5
arrow,2.5
arson,2.5
artsy,2.5
ascot,0.977306
ashed,0.0001
ashen,2.5
ashes,0.0001
aside,2.5
asked,0.0001
asker,0.829263
askew,2.5
aspen,0.987907
aspic,0.982001
assay,0.967006
asses,0.0001
asset,2.5
aster,0.943819
astir,0.902458
atlas,2.5
atoll,0.994075
atoms,0.0001
atone,2.5
atria,0.895947
attic,2.5
audio,2.5
audit,2.5
auger,0.950148
aught,0.840468
augur,2.5
aunts,0.0001
aunty,0.685589
aural,2.5
avail,2.5
avant,0.0001
avast,0.773749
avert,2.5
avian,2.5
avoid,2.5
await,2.5
awake,2.5
award,2.5
aware,2.5
awash,2.5
awful,2.5
awoke,2.5
axial,0.928638
axing,0.956975
axiom,2.5
axion,0.060813
axles,0.0001
azure,2.5
babel,0.845544
babes,0.0001
babka,0.97575
backs,0.0001
bacon,2.5
badge,2.5
badly,2.5
bagel,2.5
baggy,2.5
baits,0.0001
baked,2.5
baker,2.5
bakes,0.0001
baldy,0.704872
baled,0.0001
baler,0.835053
bales,0.0001
balky,2.5
balls,0.0001
bally,0.0001
balmy,2.5
balsa,0.976432
banal,2.5
banco,0.0001
banda,0.0001
bands,0.0001
bandy,0.954319
bangs,0.0001
banjo,2.5
banks,0.0001
barbs,0.0001
bards,0.0001
bared,0.0001
barer,0.829263
barge,2.5
barks,0.0001
barns,0.0001
baron,2.5
barre,0.997756
barry,0.0001
basal,0.987324
based,0.0001
bases,0.0001
basic,2.5
basil,2.5
basin,2.5
basis,2.5
baste,2.5
batch,2.5
bated,0.0001
bates,0.0001
bathe,2.5
baths,0.0001
batik,0.990889
baton,2.5
batty,0.997384
bawdy,2.5
bayed,0.0001
bayou,2.5
beach,2.5
beads,0.0001
beady,0.976432
beaks,0.0001
beams,0.0001
beans,0.0001
beard,2.5
bears,0.0001
beast,2.5
beats,0.0001
beaut,0.936997
beaux,0.0001
bebop,2.5
becks,0.0001
beech,2.5
beefs,0.0001
beefy,2.5
beeps,0.0001
beers,0.0001
beets,0.0001
befit,0.983428
befog,0.736992
began,2.5
begat,0.999916
beget,0.999351
begin,2.5
begot,0.97971
begun,2.5
beige,2.5
being,2.5
belay,0.906392
belch,2.5
belie,2.5
belle,2.5
bello,0.0001
bells,0.0001
belly,2.5
below,2.5
belts,0.0001
bench,2.5
bends,0.0001
bendy,0.952006
benny,0.0001
bento,0.989113
beret,2.5
berry,2.5
berth,2.5
beryl,0.816387
beset,2.5
besot,0.040901
betel,0.975045
betty,0.0001
bevel,0.866823
bezel,0.970222
bible,0.954557
bicep,0.994639
biddy,0.54929
bided,0.0001
bidet,0.98249
bigot,2.5
biked,0.0001
biker,2.5
bikes,0.0001
bilbo,0.0001
bilge,0.96992
bills,0.0001
billy,0.991344
bimbo,0.0001
binds,0.0001
binge,2.5
bingo,2.5
biome,0.943035
biped,0.919587
bipod,0.921002
birch,2.5
birds,0.0001
birth,2.5
bison,2.5
bitch,0.0001
biter,0.952601
bites,0.0001
bitsy,0.816387
bitty,0.973297
black,2.5
blade,2.5
