Word,FREQcount
a,1041179
aa,87
aaa,25
aah,2688
aahed,1
aahing,2
aahs,5
aal,1
aardvark,21
aargh,33
aaron,747
aarrgh,1
aarrghh,1
aas,2
ab,75
aba,4
abaca,1
aback,15
abacus,12
abacuses,1
abaddon,10
abaft,2
abalone,26
abalones,6
abandon,413
abandoned,678
abandoner,1
abandoning,86
abandonment,49
abandons,14
abase,3
abastard,1
abate,5
abated,4
abatement,3
abates,2
abating,1
abattoir,7
abay,3
abb,3
abba,9
abbas,5
abbe,2
abbess,2
abbesses,1
abbey,162
abbot,43
abbott,401
abbreviate,1
abbreviated,16
abbreviation,12
abbreviations,10
abby,637
abc,124
abd,1
abdicate,9
abdicated,7
abdicates,1
abdicating,3
abdication,6
abdomen,171
abdomens,3
abdominal,174
abdominals,7
abduct,36
abducted,255
abductee,20
abductees,18
abducting,16
abduction,185
abductions,42
abductor,18
abductors,11
abducts,8
abeam,7
abed,10
abel,68
abele,1
abend,9
aberdeen,17
abernethy,1
aberrant,15
aberration,28
aberrations,8
abet,5
abetted,8
abetting,26
abettor,1
abeyance,2
abhor,12
abhorred,7
abhorrent,9
abhors,4
abide,138
abided,3
abiders,1
abides,4
abiding,25
abigail,154
abilene,68
abilities,312
ability,980
abiogenist,3
abit,1
abject,20
abjectly,3
abjure,1
ablate,1
ablated,1
ablation,1
ablaze,21
able,8155
abler,1
ablest,2
abloom,3
ablution,3
ablutions,4
ably,9
abner,172
abnormal,148
abnormalities,25
abnormality,26
abnormally,20
abnormity,1
abo,6
aboard,1358
abode,33
abogado,2
abolish,24
abolished,20
abolishes,1
abolishing,2
abolition,10
abolitionism,1
abolitionist,11
abolitionists,13
abomasum,1
abominable,32
abominably,8
abominate,3
abomination,58
abominations,7
aboriginal,9
aboriginally,1
aboriginals,1
aborigine,4
aborigines,9
aborning,1
abort,235
aborted,32
aborting,13
abortion,369
abortionist,4
abortionists,1
abortions,35
abortive,1
abortively,1
aborts,1
abound,18
abounded,3
abounding,4
abounds,10
about,185206
abouts,8
above,2493
aboveboard,14
aboveground,7
abovementioned,1
abracadabra,53
abrade,1
abraded,5
abraham,264
abraid,1
abrasion,18
abrasions,56
abrasive,23
abrasiveness,2
abrasives,4
abraxas,29
abreaction,1
abreast,26
abridge,1
abridged,9
abridgement,1
abridging,2
abroad,250
abrogate,1
abrogated,2
abrogating,1
abrupt,58
abruption,6
abruptly,45
abruptness,4
abs,54
abscam,3
abscess,25
abscessed,3
abscesses,7
abscond,5
absconded,5
absconder,1
absconders,2
absconding,3
abseiling,1
absence,322
absences,14
absent,131
absentee,18
absenteeism,5
absentees,4
absentia,9
absenting,2
absentminded,3
absentmindedness,1
absinthe,28
absinthes,3
absinthium,1
absit,1
absolute,577
absolutely,5769
absoluteness,1
absolutes,21
absolution,48
absolutions,1
absolve,29
absolved,15
absolver,4
absolves,4
absolving,5
absorb,101
absorbed,78
absorbent,8
absorber,3
absorbers,8
absorbing,23
absorbs,25
absorbtion,3
absorption,18
absorptions,1
abstain,26
abstained,4
abstainers,1
abstaining,8
abstains,2
abstention,6
abstentions,1
abstinence,45
abstinent,3
abstract,111
abstracted,3
abstracting,1
abstraction,15
abstractionist,1
abstractions,5
abstractly,2
abstracts,7
abstruse,3
absurd,495
absurdist,1
absurdities,6
absurdity,32
absurdly,15
abt,11
abu,131
abulia,1
abundance,45
abundant,29
abundantly,21
abuse,523
abused,231
abuser,16
abusers,11
abuses,25
abusing,61
abusive,83
abusiveness,1
abut,6
abutment,6
abutments,1
abuts,2
abutting,1
abuzz,2
abysmal,21
abysmally,1
abyss,90
abyssal,1
abysses,2
abyssinia,8
abyssinian,9
abyssus,4
ac,110
acacia,8
academe,2
academes,1
academia,12
academic,238
academically,11
academician,1
academics,35
academies,7
academy,633
acadia,3
acanthus,1
acapulco,82
acc,8
accademia,1
accadian,1
accede,7
acceded,1
accelerant,28
accelerate,65
accelerated,49
accelerates,5
accelerating,45
acceleration,44
accelerator,69
accelerators,4
accent,621
accented,1
accents,58
accentuate,18
accentuated,2
accentuates,4
accentuating,1
accept,2692
acceptable,269
acceptance,161
acceptances,2
acceptant,1
accepted,801
accepting,206
accepts,106
access,1615
accessed,78
accesses,2
accessibility,2
accessible,56
accessing,53
accession,6
accessories,76
accessorise,1
accessorize,18
accessorized,2
accessorizing,6
accessory,147
accident,4146
accidental,153
accidentally,449
accidentals,1
accidently,11
accidents,340
acclaim,22
acclaimed,20
acclaims,2
acclamation,1
acclimate,8
acclimated,10
acclimates,1
acclimating,3
acclimatization,1
acclimatize,1
acclimatized,2
accolade,1
accolades,9
accommodate,109
accommodated,5
accommodates,3
accommodating,36
accommodation,48
accommodations,85
accommodative,1
accomodate,6
accompanied,105
accompanier,1
accompanies,13
accompaniment,15
accompanist,10
accompanists,1
accompany,242
accompanying,47
accompli,8
accomplice,216
accomplices,58
accomplish,298
accomplished,384
accomplishes,7
accomplishing,26
