word,prior,expected_guesses
aahed,0.0,2.7766
aalii,0.0,2.8563
aapas,0.0,2.8923
aargh,0.0,2.7546
aarti,0.0,2.6975
abaca,0.0,2.9501
abaci,0.0,2.8386
aback,1.0,2.8541
abacs,0.0,2.8112
abaft,0.0,2.8316
abaht,0.0,2.7952
abaka,0.0,2.9986
abamp,0.0,2.8648
aband,0.0,2.8019
abase,0.911774,2.764
abash,0.031973,2.8111
abask,0.0,2.8321
abate,1.0,2.7444
abaya,0.0,2.9891
abbas,0.0,2.9566
abbed,0.0,2.8408
abbes,0.0,2.8395
abbey,0.999124,2.8523
abbot,0.992376,2.8202
abcee,0.0,2.7479
abeam,0.0,2.845
abear,0.0,2.7448
abeat,0.0,2.7591
abeer,0.0,2.7112
abele,0.0,2.7129
abeng,0.0,2.7504
abers,0.0,2.6789
abets,0.0,2.6735
abeys,0.0,2.7539
abhor,1.0,2.7032
abide,1.0,2.678
abies,0.0,2.6873
abius,0.0,2.7526
abjad,0.0,2.9866
abjud,0.0,2.9267
abled,0.003896,2.6553
abler,0.0,2.639
ables,0.0,2.6672
ablet,0.0,2.6295
ablow,0.0,2.785
abmho,0.0,2.8109
abnet,0.0,2.648
abode,1.0,2.6857
abohm,0.0,2.7861
aboil,0.663523,2.6853
aboma,0.0,2.845
aboon,0.0,2.7909
abord,0.0,2.6893
abore,0.0,2.6351
aborn,0.0,2.6626
abort,1.0,2.6253
about,1.0,2.7179
above,1.0,2.7701
abram,0.0,2.7968
abray,0.0,2.7909
abrim,0.0,2.7246
abrin,0.0,2.6718
abris,0.0,2.6917
absey,0.0,2.7186
absit,0.0,2.6733
abuna,0.0,2.8242
abune,0.0,2.6828
abura,0.0,2.8054
aburn,0.0,2.6959
abuse,1.0,2.6963
abuts,0.0,2.6951
abuzz,1.0,3.0476
abyes,0.0,2.7457
abysm,0.0,2.7796
abyss,1.0,2.8605
acais,0.0,2.7569
acara,0.0,2.8617
acari,0.0,2.7455
accas,0.0,2.916
accha,0.0,2.9575
accoy,0.0,2.8376
accra,0.0,2.8764
acedy,0.0,2.7272
acene,0.0,2.6892
acerb,0.0,2.6749
acers,0.0,2.6362
aceta,0.0,2.7338
achar,0.0,2.7593
ached,0.003896,2.704
acher,0.0,2.6619
aches,0.0,2.7046
achey,0.0,2.7367
achoo,0.052968,2.8479
acids,0.0,2.6926
acidy,0.0,2.7398
acies,0.0,2.6514
acing,0.964463,2.6913
acini,0.0,2.796
ackee,0.0,2.7744
acker,0.0,2.6907
acmes,0.0,2.7002
acmic,0.0,2.8664
acned,0.0,2.6505
acnes,0.0,2.655
acock,0.0,2.8641
acoel,0.0,2.6345
acold,0.0,2.6734
acone,0.0,2.6161
acorn,1.0,2.607
acral,0.0,2.7106
acred,0.0,2.6169
acres,0.0,2.6232
acrid,1.0,2.6515
acron,0.0,2.6279
acros,0.0,2.6543
acryl,0.0,2.695
actas,0.0,2.7447
acted,0.003896,2.6451
actin,0.0,2.6343
acton,0.0,2.6492
actor,1.0,2.6186
actus,0.0,2.6855
acute,1.0,2.6505
acyls,0.0,2.7135
adage,1.0,2.7808
adapt,1.0,2.75
adats,0.0,2.7676
adawn,0.0,2.8484
adaws,0.0,2.8788
adays,0.0,2.8482
adbot,0.0,2.7114
addas,0.0,2.9403
addax,0.0,3.0702
added,0.003896,2.9514
adder,0.873821,2.7847
addin,0.0,2.8093
addio,0.0,2.8433
addle,0.870413,2.7698
addra,0.0,2.9117
adead,0.0,2.9055
adeem,0.0,2.7567
adept,1.0,2.6492
adhan,0.0,2.845
adhoc,0.0,2.789
adieu,1.0,2.7367
adios,0.935071,2.7022
adits,0.0,2.6786
adlib,0.0,2.7329
adman,0.0,2.8165
admen,0.0,2.6848
admin,0.966306,2.7006
admit,1.0,2.6686
admix,0.0,2.8809
adnex,0.0,2.7838
adobe,1.0,2.6909
adobo,0.995374,2.8273
adoon,0.0,2.783
adopt,1.0,2.6509
adorb,0.0,2.7084
adore,1.0,2.6238
adorn,1.0,2.6268
adown,0.0,2.7656
adoze,0.0,2.7987
adrad,0.0,2.8744
adraw,0.0,2.8372
adred,0.0,2.7294
adret,0.0,2.5875
adrip,0.0,2.6987
adsum,0.0,2.7753
aduki,0.0,2.842
adult,1.0,2.645
adunc,0.0,2.7386
adust,0.0,2.6683
advew,0.0,2.826
advts,0.0,2.8027
adyta,0.0,2.8393
adyts,0.0,2.7536
adzed,0.0,2.9221
adzes,0.0,2.8212
aecia,0.0,2.767
aedes,0.0,2.697
aeger,0.0,2.6739
aegis,1.0,2.6898
aeons,0.0,2.6349
aerie,1.0,2.6962
aeros,0.0,2.6302
aesir,0.0,2.5992
aevum,0.0,2.7936
afald,0.0,2.8113
afanc,0.0,2.8215
afara,0.0,2.927
afars,0.0,2.7961
afear,0.0,2.7683
affix,1.0,3.0333
affly,0.0,2.8891
afion,0.0,2.7123
afire,1.0,2.6605
afizz,0.0,3.0402
aflaj,0.0,2.9634
aflap,0.0,2.8401
aflow,0.0,2.8145
afoam,0.0,2.86
afoot,1.0,2.7907
afore,0.638004,2.6752
afoul,1.0,2.7328
afret,0.0,2.6245
afrit,0.0,2.652
afros,0.0,2.6897
after,1.0,2.6608
aftos,0.0,2.7234
again,1.0,2.7868
agals,0.0,2.7671
agama,0.0,2.9684
agami,0.0,2.8455
agamy,0.0,2.8261
agape,1.0,2.7674
agars,0.0,2.7711
agasp,0.0,2.7926
agast,0.0,2.7206
agate,0.98098,2.7459
agaty,0.0,2.7766
agave,1.0,2.8596
agaze,0.0,2.8889
agbas,0.0,2.8543
agene,0.0,2.7192
agent,1.0,2.6523
agers,0.0,2.6757
aggag,0.0,3.1061
agger,0.0,2.7849
aggie,0.0,2.8162
aggri,0.0,2.8627
aggro,0.0,2.8377
aggry,0.0,2.8624
aghas,0.0,2.8535
agidi,0.0,2.8885
agila,0.0,2.7683
agile,1.0,2.6226
aging,1.0,2.8464
agios,0.0,2.7193
agism,0.0,2.7281
agist,0.0,2.6441
agita,0.994003,2.7973
aglee,0.0,2.6981
aglet,0.0,2.6291
agley,0.0,2.6882
agloo,0.0,2.8044
aglow,1.0,2.7576
aglus,0.0,2.7264
agmas,0.0,2.8444
agoge,0.0,2.819
agogo,0.0,2.9593
agone,0.0,2.6512
