word,prior
aahed,0.0
aalii,0.0
aapas,0.0
aargh,0.0
aarti,0.0
abaca,0.0
abaci,0.0
aback,0.58
abacs,0.0
abaft,0.0
abaht,0.0
abaka,0.0
abamp,0.0
aband,0.0
abase,0.528829
abash,0.0185443
abask,0.0
abate,0.58
abaya,0.0
abbas,0.0
abbed,0.0
abbes,0.0
abbey,0.579492
abbot,0.575578
abcee,0.0
abeam,0.0
abear,0.0
abeat,0.0
abeer,0.0
abele,0.0
abeng,0.0
abers,0.0
abets,0.0
abeys,0.0
abhor,0.58
abide,0.58
abies,0.0
abius,0.0
abjad,0.0
abjud,0.0
abled,0.00225968
abler,0.0
ables,0.0
ablet,0.0
ablow,0.0
abmho,0.0
abnet,0.0
abode,0.58
abohm,0.0
aboil,0.384843
aboma,0.0
aboon,0.0
abord,0.0
abore,0.0
aborn,0.0
abort,0.58
about,0.58
above,0.58
abram,0.0
abray,0.0
abrim,0.0
abrin,0.0
abris,0.0
absey,0.0
absit,0.0
abuna,0.0
abune,0.0
abura,0.0
aburn,0.0
abuse,0.58
abuts,0.0
abuzz,0.58
abyes,0.0
abysm,0.0
abyss,0.58
acais,0.0
acara,0.0
acari,0.0
accas,0.0
accha,0.0
accoy,0.0
accra,0.0
acedy,0.0
acene,0.0
acerb,0.0
acers,0.0
aceta,0.0
achar,0.0
ached,0.00225968
acher,0.0
aches,0.0
achey,0.0
achoo,0.0307214
acids,0.0
acidy,0.0
acies,0.0
acing,0.5593889999999999
acini,0.0
ackee,0.0
acker,0.0
acmes,0.0
acmic,0.0
acned,0.0
acnes,0.0
acock,0.0
acoel,0.0
acold,0.0
acone,0.0
acorn,0.58
acral,0.0
acred,0.0
acres,0.0
acrid,0.58
acron,0.0
acros,0.0
acryl,0.0
actas,0.0
acted,0.00225968
actin,0.0
acton,0.0
actor,0.58
actus,0.0
acute,0.58
acyls,0.0
adage,0.58
adapt,0.58
adats,0.0
adawn,0.0
adaws,0.0
adays,0.0
adbot,0.0
addas,0.0
addax,0.0
added,0.00225968
adder,0.506816
addin,0.0
addio,0.0
addle,0.5048400000000001
addra,0.0
adead,0.0
adeem,0.0
adept,0.58
adhan,0.0
adhoc,0.0
adieu,0.58
adios,0.542341
adits,0.0
adlib,0.0
adman,0.0
admen,0.0
admin,0.560457
admit,0.58
admix,0.0
adnex,0.0
adobe,0.58
adobo,0.577317
adoon,0.0
adopt,0.58
adorb,0.0
adore,0.58
adorn,0.58
adown,0.0
adoze,0.0
adrad,0.0
adraw,0.0
adred,0.0
adret,0.0
adrip,0.0
adsum,0.0
aduki,0.0
adult,0.58
adunc,0.0
adust,0.0
advew,0.0
advts,0.0
adyta,0.0
adyts,0.0
adzed,0.0
adzes,0.0
aecia,0.0
aedes,0.0
aeger,0.0
aegis,0.58
aeons,0.0
aerie,0.58
aeros,0.0
aesir,0.0
aevum,0.0
afald,0.0
afanc,0.0
afara,0.0
afars,0.0
afear,0.0
affix,0.58
affly,0.0
afion,0.0
afire,0.58
afizz,0.0
aflaj,0.0
aflap,0.0
aflow,0.0
afoam,0.0
afoot,0.58
afore,0.370042
afoul,0.58
afret,0.0
afrit,0.0
afros,0.0
after,0.58
aftos,0.0
again,0.58
agals,0.0
agama,0.0
agami,0.0
agamy,0.0
agape,0.58
agars,0.0
agasp,0.0
agast,0.0
agate,0.568968
agaty,0.0
agave,0.58
agaze,0.0
agbas,0.0
agene,0.0
agent,0.58
agers,0.0
aggag,0.0
agger,0.0
aggie,0.0
aggri,0.0
aggro,0.0
aggry,0.0
aghas,0.0
agidi,0.0
agila,0.0
agile,0.58
aging,0.58
agios,0.0
agism,0.0
agist,0.0
agita,0.576522
aglee,0.0
aglet,0.0
agley,0.0
agloo,0.0
aglow,0.58
aglus,0.0
agmas,0.0
agoge,0.0
agogo,0.0
agone,0.0
agons,0.0
agony,0.58
agood,0.0
agora,0.5547489999999999
agree,0.58
agria,0.0
agrin,0.0
agros,0.0
agrum,0.0
agued,0.0
agues,0.0
aguey,0.0
aguna,0.0
agush,0.0
aguti,0.0
ahead,0.58
aheap,0.0
ahent,0.0
ahigh,0.0
ahind,0.0
ahing,0.0
ahint,0.0
ahold,0.5763510000000001
ahole,0.0
ahull,0.0
ahuru,0.0
aidas,0.0
aided,0.00225968
aider,0.498241
aides,0.0
aidoi,0.0
aidos,0.0
aiery,0.0
aigas,0.0
aight,0.0
ailed,0.00225968
aimag,0.0
aimak,0.0
aimed,0.00225968
aimer,0.0
ainee,0.0
ainga,0.0
aioli,0.58
aired,0.00225968
airer,0.0
airns,0.0
airth,0.0
airts,0.0
aisle,0.58
aitch,0.0
aitus,0.0
aiver,0.0
aixes,0.0
aiyah,0.0
aiyee,0.0
aiyoh,0.0
aiyoo,0.0
aizle,0.0
ajies,0.0
ajiva,0.0
ajuga,0.0
ajupa,0.0
ajwan,0.0
akara,0.0
akees,0.0
akela,0.0
akene,0.0
aking,0.0
